player,week,position,form,pts_per_match,total_pts,total_bonus,ict_index,tsb_percent,fdr,pts_scored
Georginio,22,3,2.2,3.1,63,1,66.5,0.5,3,6
Leno,22,1,3.0,3.0,62,2,52.5,3.2,2,1
Szoboszlai,22,3,3.8,3.4,62,6,94.8,1.5,4,2
Tarkowski,22,2,2.4,3.0,61,5,74.6,1.5,4,2
Foden,22,3,8.0,3.8,61,7,114.2,6.0,2,15
Wan-Bissaka,22,2,2.8,3.0,61,6,79.6,5.2,3,3
L.Paquetá,22,3,2.4,3.0,61,5,88.1,1.1,3,7
Martinez,22,1,2.8,2.8,59,2,46.3,11.0,5,6
O.Dango,22,3,4.0,3.3,59,4,92.1,0.2,4,2
Verbruggen,22,1,4.6,3.1,59,4,50.9,3.0,3,7
Caicedo,22,3,2.0,2.8,59,2,80.3,1.2,2,2
Diogo J.,22,3,3.2,4.5,59,4,67.1,3.2,4,7
Lewis-Potter,22,3,4.0,2.8,58,0,81.1,0.1,5,5
Lacroix,22,2,3.6,3.2,58,4,51.3,0.4,2,8
Mykolenko,22,2,2.6,3.2,58,5,53.8,5.7,4,2
De Bruyne,22,3,3.2,4.1,58,7,101.7,4.4,2,7
Kovačić,22,3,2.4,3.4,58,8,79.1,1.2,2,3
Aït-Nouri,22,2,3.6,2.9,58,5,95.2,6.0,4,1
Huijsen,22,2,6.2,3.8,57,11,59.0,3.8,4,0
Ndiaye,22,4,3.2,2.9,57,9,81.7,0.7,4,2
Buonanotte,22,3,1.4,3.2,57,4,93.1,0.7,3,2
Jones,22,3,3.6,3.4,57,4,69.6,0.5,4,1
Digne,22,2,2.4,2.7,56,6,85.9,6.8,5,6
Zabarnyi,22,2,4.2,2.7,56,3,55.2,0.6,4,1
Anderson,22,3,2.4,2.8,56,4,95.2,0.3,2,2
Tielemans,22,3,2.0,2.6,55,5,115.8,1.0,5,3
Wilson,22,3,5.0,3.2,55,5,65.8,0.9,2,2
Robertson,22,2,2.2,2.9,55,2,76.3,4.5,4,2
Mac Allister,22,3,6.0,2.9,55,2,87.6,1.7,4,2
Garnacho,22,3,1.4,2.8,55,4,99.5,4.9,3,3
Schär,22,2,3.4,3.2,55,0,50.6,1.8,3,0
Rice,22,3,4.2,2.8,54,6,99.3,2.6,3,2
Janelt,22,3,2.0,2.7,54,2,58.7,0.3,5,2
Chalobah,22,2,3.2,4.5,54,5,51.6,1.0,2,0
Dalot,22,2,0.6,2.7,54,6,67.3,6.2,3,0
Rashford,22,3,0.0,3.6,54,3,68.9,2.1,3,0
J.Gomes,22,3,2.2,2.7,54,5,64.6,0.3,4,2
Cook,22,3,2.2,2.6,53,2,96.7,0.2,4,2
Sancho,22,3,2.8,3.5,53,3,73.0,1.3,2,2
Calvert-Lewin,22,4,1.6,2.6,53,3,72.4,1.4,4,2
Hutchinson,22,3,2.8,2.8,53,4,73.2,0.3,4,2
N.Williams,22,2,6.2,2.9,53,2,46.6,1.8,2,2
Kudus,22,3,3.6,3.3,53,4,101.6,2.7,3,2
Ødegaard,22,3,3.2,3.7,52,6,96.0,5.5,3,8
Arrizabalaga,22,1,3.8,3.7,52,4,38.2,1.8,4,0
Szmodics,22,3,2.4,2.9,52,2,54.9,0.2,4,0
Mavididi,22,3,3.6,2.6,52,3,80.3,0.3,3,2
Mazraoui,22,2,1.2,2.5,52,4,60.0,11.4,3,2
Livramento,22,2,3.0,2.6,52,2,45.1,1.8,3,6
Duran,22,4,1.0,2.8,51,9,66.4,2.8,5,0
Christie,22,3,3.6,2.5,51,2,85.4,0.2,4,4
Martinez,22,2,2.0,2.8,51,2,65.7,3.6,3,1
Van Hecke,22,2,4.2,2.6,50,4,64.2,0.9,3,7
Andreas,22,3,1.8,2.6,50,1,98.1,1.0,2,2
Veltman,22,2,3.0,3.3,49,7,32.9,1.9,3,5
Konaté,22,2,0.6,3.5,49,1,39.7,3.6,4,2
Gravenberch,22,3,2.4,2.5,49,1,65.3,0.8,4,2
Tavernier,22,3,0.0,3.2,48,2,97.1,0.2,4,0
Nørgaard,22,3,3.4,2.7,48,1,69.4,0.2,5,8
Baleba,22,3,2.2,2.7,48,4,59.4,0.2,3,3
Adama,22,3,1.2,2.4,48,3,83.3,1.7,2,1
Muric,22,1,0.8,2.8,48,5,51.0,0.9,4,0
Davis,22,2,1.4,2.3,48,5,105.9,1.6,4,1
J.Ayew,22,3,2.4,2.5,48,3,57.2,0.2,3,1
A.Becker,22,1,2.4,4.0,48,5,21.3,7.0,4,2
Pope,22,1,0.0,3.2,48,2,39.1,3.3,3,0
Colwill,22,2,2.4,2.4,47,1,58.4,4.7,2,1
Cucurella,22,2,1.0,2.5,47,2,53.1,6.6,2,1
Guedes,22,3,4.2,2.6,47,2,47.0,0.1,4,2
Mario Jr.,22,3,0.2,2.8,47,5,64.4,0.2,4,0
Konsa,22,2,2.8,2.4,46,5,45.6,6.7,5,8
Lewis,22,2,2.0,2.6,46,1,52.0,6.5,2,0
Doku,22,3,1.2,3.3,46,2,69.2,1.5,2,0
Morsy,22,3,1.0,2.4,45,5,51.8,0.1,4,1
De Ligt,22,2,0.6,2.4,45,3,52.7,3.5,3,2
Zirkzee,22,4,1.0,2.1,45,6,56.9,1.6,3,1
Ramsdale,22,1,3.8,3.2,45,5,44.3,1.3,3,3
Dibling,22,3,3.4,2.2,45,4,66.7,2.5,3,5
Muniz,22,4,2.4,2.2,44,5,50.4,1.7,2,1
Yates,22,3,1.0,2.2,44,3,55.5,0.1,2,1
Aribo,22,3,1.6,2.2,44,3,64.3,0.1,3,3
Emerson,22,2,1.8,2.3,44,0,62.6,0.7,3,1
